"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-01","1982","01","01","","-23.1","","-28.3","","-25.7","","43.7","","0.0","","0.0","","1.0","","1.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-02","1982","01","02","","-25.0","","-29.7","","-27.4","","45.4","","0.0","","0.0","","0.6","","0.6","","9","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-03","1982","01","03","","-23.4","","-30.0","","-26.7","","44.7","","0.0","","0.0","","1.0","","1.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-04","1982","01","04","","-26.5","","-32.6","","-29.6","","47.6","","0.0","","0.0","","0.2","","0.2","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-05","1982","01","05","","-23.8","","-32.5","","-28.2","","46.2","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-06","1982","01","06","","-16.3","","-27.9","","-22.1","","40.1","","0.0","","0.0","","1.0","","1.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-07","1982","01","07","","-16.9","","-27.5","","-22.2","","40.2","","0.0","","0.0","","9.3","","9.9","","14","","35","","35",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-08","1982","01","08","","-22.0","","-27.3","","-24.7","","42.7","","0.0","","0.0","","7.6","","7.6","","19","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-09","1982","01","09","","-20.8","","-26.0","","-23.4","","41.4","","0.0","","0.0","","3.6","","4.0","","28","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-10","1982","01","10","","-20.6","","-26.3","","-23.5","","41.5","","0.0","","0.0","","4.0","","3.8","","28","","13","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-11","1982","01","11","","-16.9","","-21.7","","-19.3","","37.3","","0.0","","0.0","","1.0","","1.0","","30","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-12","1982","01","12","","-16.7","","-20.8","","-18.8","","36.8","","0.0","","0.0","","0.2","","0.2","","30","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-13","1982","01","13","","5.1","","-18.4","","-6.7","","24.7","","0.0","","0.2","","4.6","","5.0","","30","","26","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-14","1982","01","14","","3.9","","-26.5","","-11.3","","29.3","","0.0","","0.0","","7.1","","5.2","","29","","33","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-15","1982","01","15","","-24.1","","-27.6","","-25.9","","43.9","","0.0","","0.0","","0.0","","0.0","","33","","31","","50",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-16","1982","01","16","","-13.6","","-29.1","","-21.4","","39.4","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-17","1982","01","17","","-13.8","","-18.9","","-16.4","","34.4","","0.0","","0.0","","6.6","","4.6","","35","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-18","1982","01","18","","-18.6","","-30.4","","-24.5","","42.5","","0.0","","0.0","","1.1","","1.1","","37","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-19","1982","01","19","","-26.4","","-33.5","","-30.0","","48.0","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-20","1982","01","20","","-29.6","","-34.7","","-32.2","","50.2","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-21","1982","01","21","","-26.7","","-36.9","","-31.8","","49.8","","0.0","","0.0","","1.5","","1.5","","37","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-22","1982","01","22","","-23.4","","-29.3","","-26.4","","44.4","","0.0","","0.0","","2.4","","2.6","","38","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-23","1982","01","23","","-23.0","","-27.7","","-25.4","","43.4","","0.0","","0.0","","1.0","","1.0","","39","","14","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-24","1982","01","24","","-15.1","","-24.6","","-19.9","","37.9","","0.0","","0.0","","4.8","","4.4","","45","","13","","33",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-25","1982","01","25","","-1.4","","-15.6","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","T","44","","16","","33",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-26","1982","01","26","","-4.2","","-19.9","","-12.1","","30.1","","0.0","","0.0","","0.2","","0.2","","44","","34","","41",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-27","1982","01","27","","-18.7","","-25.8","","-22.3","","40.3","","0.0","","0.0","","0.4","","0.4","","43","","34","","44",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-28","1982","01","28","","-14.6","","-22.5","","-18.6","","36.6","","0.0","","0.0","","4.6","","4.0","","43","","35","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-29","1982","01","29","","-21.0","","-24.4","","-22.7","","40.7","","0.0","","0.0","","7.4","","7.0","","48","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-30","1982","01","30","","-12.3","","-23.5","","-17.9","","35.9","","0.0","","0.0","","1.4","","1.4","","52","","15","","33",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-01-31","1982","01","31","","-6.3","","-13.0","","-9.7","","27.7","","0.0","","0.0","","2.8","","1.3","","52","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-01","1982","02","01","","-4.8","","-20.3","","-12.6","","30.6","","0.0","","0.0","","0.4","","0.4","","53","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-02","1982","02","02","","-15.9","","-28.1","","-22.0","","40.0","","0.0","","0.0","","0.0","T","0.0","T","52","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-03","1982","02","03","","-16.1","","-26.7","","-21.4","","39.4","","0.0","","0.0","","0.0","T","0.0","T","52","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-04","1982","02","04","","-15.7","","-27.9","","-21.8","","39.8","","0.0","","0.0","","0.0","T","0.0","T","52","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-05","1982","02","05","","-2.0","","-29.8","","-15.9","","33.9","","0.0","","0.0","","1.0","","1.0","","52","","32","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-06","1982","02","06","","-1.0","","-12.7","","-6.9","","24.9","","0.0","","0.0","","0.8","","0.8","","52","","30","","59",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-07","1982","02","07","","-12.1","","-21.8","","-17.0","","35.0","","0.0","","0.0","","0.0","T","0.0","T","53","","31","","44",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-08","1982","02","08","","-17.6","","-25.4","","-21.5","","39.5","","0.0","","0.0","","0.0","T","0.0","T","53","","32","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-09","1982","02","09","","-8.5","","-24.8","","-16.7","","34.7","","0.0","","0.0","","0.5","","0.5","","53","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-10","1982","02","10","","-8.2","","-13.0","","-10.6","","28.6","","0.0","","0.0","","1.5","","1.3","","53","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-11","1982","02","11","","-11.5","","-17.8","","-14.7","","32.7","","0.0","","0.0","","1.4","","1.4","","54","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-12","1982","02","12","","-16.4","","-22.4","","-19.4","","37.4","","0.0","","0.0","","0.9","","0.9","","54","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-13","1982","02","13","","-14.5","","-18.5","","-16.5","","34.5","","0.0","","0.0","","0.0","T","0.0","T","55","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-14","1982","02","14","","-11.0","","-19.3","","-15.2","","33.2","","0.0","","0.0","","1.4","","0.7","","56","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-15","1982","02","15","","-9.6","","-21.8","","-15.7","","33.7","","0.0","","0.0","","0.0","T","0.0","T","55","","14","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-16","1982","02","16","","-7.8","","-16.9","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","54","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-17","1982","02","17","","5.5","","-10.9","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","52","","31","","35",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-18","1982","02","18","","2.3","","-7.4","","-2.6","","20.6","","0.0","","0.0","","0.0","T","0.0","T","49","","14","","57",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-19","1982","02","19","","8.1","","-4.2","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","48","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-20","1982","02","20","","4.5","","-4.4","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","46","","32","","44",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-21","1982","02","21","","-2.4","","-10.2","","-6.3","","24.3","","0.0","","0.0","","0.0","T","0.0","T","43","","32","","52",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-22","1982","02","22","","-4.3","","-12.1","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","42","","17","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-23","1982","02","23","","-6.4","","-20.1","","-13.3","","31.3","","0.0","","0.0","","5.9","","3.2","","42","","32","","35",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-24","1982","02","24","","-19.6","","-24.7","","-22.2","","40.2","","0.0","","0.0","","1.6","","1.4","","46","","32","","41",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-25","1982","02","25","","-18.6","","-26.8","","-22.7","","40.7","","0.0","","0.0","","0.4","","0.4","","46","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-26","1982","02","26","","-14.5","","-21.9","","-18.2","","36.2","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-27","1982","02","27","","-13.2","","-15.6","","-14.4","","32.4","","0.0","","0.0","","4.8","","4.8","","45","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-02-28","1982","02","28","","-12.6","","-20.2","","-16.4","","34.4","","0.0","","0.0","","0.0","T","0.0","T","48","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-01","1982","03","01","","-15.4","","-18.9","","-17.2","","35.2","","0.0","","0.0","","12.6","","5.7","","49","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-02","1982","03","02","","-13.9","","-18.1","","-16.0","","34.0","","0.0","","0.0","","6.5","","4.2","","58","","12","","33",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-03","1982","03","03","","-13.6","","-19.7","","-16.7","","34.7","","0.0","","0.0","","0.6","","0.6","","61","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-04","1982","03","04","","-9.2","","-18.7","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","60","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-05","1982","03","05","","-1.0","","-15.6","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","59","","28","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-06","1982","03","06","","0.1","","-12.4","","-6.2","","24.2","","0.0","","0.0","","0.2","","0.2","","58","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-07","1982","03","07","","-8.7","","-17.7","","-13.2","","31.2","","0.0","","0.0","","3.0","","3.0","","56","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-08","1982","03","08","","-2.6","","-19.0","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","57","","17","","35",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-09","1982","03","09","","1.3","","-5.6","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","55","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-10","1982","03","10","","2.4","","-8.5","","-3.1","","21.1","","0.0","","0.0","","0.0","T","0.0","T","54","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-11","1982","03","11","","0.3","","-5.8","","-2.8","","20.8","","0.0","","0.0","T","23.0","","15.1","","52","","32","","67",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-12","1982","03","12","","-1.1","","-10.0","","-5.6","","23.6","","0.0","","0.0","","0.2","","0.2","","70","","31","","59",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-13","1982","03","13","","4.4","","-9.8","","-2.7","","20.7","","0.0","","0.0","","0.0","","0.0","","63","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-14","1982","03","14","","2.2","","-9.7","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","59","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-15","1982","03","15","","2.4","","-12.9","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","57","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-16","1982","03","16","","-4.4","","-13.8","","-9.1","","27.1","","0.0","","0.0","","0.4","","0.2","","56","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-17","1982","03","17","","-5.8","","-10.2","","-8.0","","26.0","","0.0","","0.0","","2.2","","2.0","","56","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-18","1982","03","18","","-5.2","","-16.3","","-10.8","","28.8","","0.0","","0.0","","0.8","","0.6","","57","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-19","1982","03","19","","-0.4","","-9.4","","-4.9","","22.9","","0.0","","0.0","","0.0","T","0.0","T","56","","17","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-20","1982","03","20","","2.5","","-5.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","55","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-21","1982","03","21","","6.6","","-6.6","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","51","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-22","1982","03","22","","8.0","","-6.2","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","47","","29","","41",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-23","1982","03","23","","2.4","","-2.2","","0.1","","17.9","","0.0","","0.0","","3.6","","2.4","","42","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-24","1982","03","24","","2.7","","-5.4","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","43","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-25","1982","03","25","","1.2","","-7.7","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","41","","13","","56",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-26","1982","03","26","","3.3","","-5.9","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","38","","15","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-27","1982","03","27","","4.5","","-2.4","","1.1","","16.9","","0.0","","0.0","","0.2","","0.2","","35","","29","","46",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-28","1982","03","28","","3.2","","-5.6","","-1.2","","19.2","","0.0","","0.0","","1.6","","0.7","","30","","13","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-29","1982","03","29","","4.4","","-9.2","","-2.4","","20.4","","0.0","","0.0","T","0.0","T","0.0","T","30","","28","","56",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-30","1982","03","30","","-6.9","","-14.1","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","27","","32","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-03-31","1982","03","31","","-9.9","","-18.1","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","27","","6","","33",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-01","1982","04","01","","-9.0","","-15.2","","-12.1","","30.1","","0.0","","0.0","","10.7","","8.0","","32","","7","","41",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-02","1982","04","02","","-12.4","","-19.9","","-16.2","","34.2","","0.0","","0.0","","0.4","","0.4","","34","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-03","1982","04","03","","-9.6","","-21.7","","-15.7","","33.7","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-04","1982","04","04","","-6.9","","-19.9","","-13.4","","31.4","","0.0","","0.0","","0.2","","0.2","","34","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-05","1982","04","05","","-3.6","","-13.4","","-8.5","","26.5","","0.0","","0.0","","0.2","","0.2","","33","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-06","1982","04","06","","-3.0","","-11.7","","-7.4","","25.4","","0.0","","0.0","","0.2","","0.2","","32","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-07","1982","04","07","","0.4","","-14.3","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-08","1982","04","08","","5.5","","-6.0","","-0.3","","18.3","","0.0","","0.2","","0.7","","1.1","","28","","34","","69",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-09","1982","04","09","","0.6","","-8.3","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","27","","16","","43",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-10","1982","04","10","","9.0","","-1.3","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","26","","15","","44",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-11","1982","04","11","","6.7","","-1.1","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-12","1982","04","12","","5.7","","-4.4","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","21","","13","","41",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-13","1982","04","13","","11.3","","1.2","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","19","","28","","44",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-14","1982","04","14","","4.2","","-2.1","","1.1","","16.9","","0.0","","0.0","","11.8","","8.2","","12","","27","","52",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-15","1982","04","15","","7.5","","-1.1","","3.2","","14.8","","0.0","","0.0","","3.0","","2.6","","15","","29","","56",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-16","1982","04","16","","9.4","","-2.2","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-17","1982","04","17","","10.8","","-1.4","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","3","","31","","44",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-18","1982","04","18","","7.0","","-1.0","","3.0","","15.0","","0.0","","0.0","","1.2","","1.2","","0","T","33","","59",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-19","1982","04","19","","8.0","","-2.2","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","0","T","29","","35",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-20","1982","04","20","","12.8","","-0.4","","6.2","","11.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-21","1982","04","21","","19.4","","1.8","","10.6","","7.4","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-22","1982","04","22","","21.4","","2.0","","11.7","","6.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-23","1982","04","23","","16.5","","2.0","","9.3","","8.7","","0.0","","1.0","","0.0","","1.0","","0","","32","","78",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-24","1982","04","24","","8.4","","1.3","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","0","","29","","59",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-25","1982","04","25","","12.8","","0.8","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-26","1982","04","26","","17.0","","1.7","","9.4","","8.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-27","1982","04","27","","19.9","","1.6","","10.8","","7.2","","0.0","","0.0","","0.0","","0.0","","0","","19","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1982-04-28","1982","04","28","","18.6","","5.2","","11.9","","6.1","","0.0","","0.0","T","0.0","","0.0","T","0","","27","","57",""
